STN,YYYYMMDD,FHVEC,  FHX,   TG,   TN,   TX,    Q,   RH
  260,20170318,   38,   80,   97,   74,  127,  262,   62
  260,20170319,   59,   80,  113,   98,  127,  316,    2
  260,20170320,   60,   80,  103,   88,  115,  238,   94
  260,20170321,   38,   70,   75,   13,   98, 1370,   -1
  260,20170322,   35,   60,   63,   -3,  124, 1441,    0
  260,20170323,   43,   70,   82,   19,  140, 1618,    0
  260,20170324,   45,   60,   84,   31,  142, 1677,    0
  260,20170325,   44,   70,   85,   21,  143, 1649,    0
  260,20170326,   34,   50,   80,   33,  130, 1382,    0
  260,20170327,   20,   50,   92,   18,  174, 1798,    0
  260,20170328,   23,   50,  113,    6,  197, 1701,    1
  260,20170329,   44,   60,  126,  103,  147,  500,   -1
  260,20170330,   34,   60,  157,  108,  218, 1338,    0
  260,20170331,   25,   60,  145,   89,  218, 1212,   14
  260,20170401,   14,   40,  108,   60,  141,  596,   -1
  260,20170402,   11,   40,  103,   44,  169, 1709,    0
  260,20170403,    8,   20,   81,   27,  143, 1106,    0
  260,20170404,    8,   40,   98,   22,  165, 1406,    0
  260,20170405,   35,   50,   92,   62,  128, 1270,    0
  260,20170406,   27,   40,   81,   38,  118,  942,   -1
  260,20170407,   23,   30,  105,   73,  138,  953,    0
  260,20170408,    2,   20,   96,   29,  155, 1365,    0
  260,20170409,   20,   40,  117,    8,  210, 2091,    0
  260,20170410,   33,   50,   98,   41,  155, 1301,    0
  260,20170411,   30,   50,   96,   23,  138, 1560,    0
  260,20170412,   40,   60,   98,   83,  119,  616,    8
  260,20170413,   32,   50,   93,   60,  133, 1538,   -1
  260,20170414,   30,   50,   99,   65,  130,  807,   -1
  260,20170415,   42,   60,   96,   65,  121, 1306,   34
  260,20170416,   25,   50,   79,   50,  108, 1127,   29
  260,20170417,   32,   60,   65,   27,  109, 1643,   86
  260,20170418,   25,   60,   61,    8,  111, 1745,   -1
  260,20170419,   27,   50,   39,  -13,   83, 1523,    0
  260,20170420,   19,   40,   69,  -34,  129, 2188,    0
